gs2.run : 282 candidate d16(a5) chip accesses in 36 registers
  CLXDAT     x137  0x00a5a8 0x00a5ae 0x00a5e4 0x00a5ea 0x00ac7e 0x00ac84 0x00adc4 0x00adca +129 more
  VPOSR      x16   0x003458 0x005740 0x005c96 0x005cae 0x005df6 0x005ed0 0x0068b4 0x006bfe +8 more
  BLTDDAT    x16   0x003a06 0x009f24 0x01fcc4 0x01fcd4 0x02637a 0x026388 0x0263a4 0x0263c0 +8 more
  DMACONR    x14   0x003452 0x00cdcc 0x00d87e 0x00d8fc 0x00d94a 0x00d99a 0x011a4a 0x011a7c +6 more
  DSKBYTR    x11   0x00e84a 0x00e864 0x00e8e0 0x00e9bc 0x00e9fa 0x00eaa4 0x00eac4 0x00eaf2 +3 more
  JOY1DAT    x10   0x002ae2 0x006c34 0x006dd2 0x006f82 0x00e8be 0x00e9da 0x00eab4 0x014c48 +2 more
  JOY0DAT    x9    0x006f7c 0x009064 0x0124ae 0x013d6e 0x013e44 0x014e20 0x014eaa 0x015994 +1 more
  DSKDATR    x8    0x005728 0x005734 0x005ec6 0x0068b0 0x006bf0 0x006d82 0x00e964 0x017b00
  ADKCONR    x7    0x002aac 0x005744 0x005766 0x00e824 0x00e896 0x00e972 0x0159d4
  BLTCON0    x4    0x00585e 0x022d26 0x022d36 0x022d46
  $028       x4    0x00a11c 0x0141da 0x0141ee 0x014202
  INTREQR    x4    0x00e8b4 0x00e8e8 0x00ea02 0x00eb48
  SERDATR    x4    0x00e8dc 0x00e9f6 0x00eb3c 0x0159b6
  POT0DAT    x3    0x002ac0 0x00576a 0x008b4a
  COPJMP1    x3    0x005814 0x0127f0 0x014078
  POT1DAT    x3    0x008b4e 0x00e90c 0x00e958
  VHPOSW     x3    0x00e8d0 0x00e9ea 0x00eb30
  INTENAR    x3    0x00e8e4 0x00e9fe 0x00eb44
  VHPOSR     x2    0x002aee 0x00d870
  $022       x2    0x00e946 0x0154e2
  BLTAFWM    x2    0x00faf8 0x00fc02
  $1E0       x2    0x0154ac 0x0154ce
  DMACON     x2    0x026ed4 0x02700c
  POTGO      x1    0x00580a
  DSKLEN     x1    0x005850
  AUD1LCL    x1    0x007dbe
  BLTAPTH    x1    0x00a120
  $078       x1    0x00a124
  BLTAMOD    x1    0x00ae22
  POTGOR     x1    0x00e83e
  $1FE       x1    0x0175c2
  BLTSIZE    x1    0x0175ca
  SERDAT     x1    0x0242a4
  BLTCDAT    x1    0x0242d6
  $1F0       x1    0x024404
  BLTALWM    x1    0x02677a
