file               size   wxh      bp compress  colours     body  CAMG
Ami.catalog        5046       0x0  0 ?-1            0        0  -
BASE.PIX          50988   320x200  8 ByteRun1     256    49906  $00011000 plain
BASE_AN.PIX       45314   320x200  8 ByteRun1     256    44232  $00011000 plain
BASE_AN1.PIX      36826   320x200  8 ByteRun1     256    35743  $00011000 plain
BASE_AN2.PIX      37544   320x200  8 ByteRun1     256    36461  $00011000 plain
BPATCHES.PIX      57608   320x200  8 ByteRun1     256    56526  $00011000 plain
CDACCESS.PIX      39488   320x200  8 ByteRun1     256    38405  $00011000 plain
COMMAND2.PIX      32274   320x200  8 ByteRun1     256    31191  $00011000 plain
COMMANDR.PIX      35716   320x200  8 ByteRun1     256    34634  $00011000 plain
COMMISSN.PIX      41206   320x200  8 ByteRun1     256    40123  $00011000 plain
COMM_AN.PIX       20880   320x200  8 ByteRun1     256    19798  $00011000 plain
EURO6MAP.PIX      23280   320x200  8 ByteRun1     256    22197  $00011000 plain
EURO7MAP.PIX      22756   320x200  8 ByteRun1     256    21674  $00011000 plain
EURO8MAP.PIX      23240   320x200  8 ByteRun1     256    22157  $00011000 plain
FIELD.PIX         46176   320x200  8 ByteRun1     256    45093  $00011000 plain
FIELD2.PIX        44108   320x200  8 ByteRun1     256    43026  $00011000 plain
FIELD_A2.PIX      18818   320x200  8 ByteRun1     256    17735  $00011000 plain
FIELD_AN.PIX      29872   320x200  8 ByteRun1     256    28790  $00011000 plain
GS2LOGO.LBM       52588   320x200  8 ByteRun1     256    51506  $00091000 plain
GULF3MAP.PIX      21204   320x200  8 ByteRun1     256    20122  $00011000 plain
GULF4MAP.PIX      20728   320x200  8 ByteRun1     256    19645  $00011000 plain
GULF5MAP.PIX      21936   320x200  8 ByteRun1     256    20854  $00011000 plain
HANDS.PIX         17288   320x200  8 ByteRun1     256    16206  $00011000 plain
HAPPY.PIX         46804   320x200  8 ByteRun1     256    45722  $00011000 plain
HAPPY_2.PIX       46532   320x200  8 ByteRun1     256    45450  $00011000 plain
HAPPY_AN.PIX      14226   320x200  8 ByteRun1     256    13144  $00011000 plain
JUMP.PIX          45136   320x200  8 ByteRun1     256    44053  $00011000 plain
JUMPCMOH.PIX      45810   320x200  8 ByteRun1     256    44728  $00011000 plain
KIA.PIX           34220   320x200  8 ByteRun1     256    33138  $00011000 plain
KIA_AN.PIX        23084   320x200  8 ByteRun1     256    22002  $00011000 plain
LOSE.PIX          46236   320x200  8 ByteRun1     256    45154  $00011000 plain
MEDAL.PIX         21650   320x200  8 ByteRun1     256    20567  $00011000 plain
MEMO.PIX          18986   320x200  8 ByteRun1     256    17904  $00011000 plain
MEMO_AN.PIX       33166   320x200  8 ByteRun1     256    32084  $00011000 plain
MENU0021.PIX      31168   320x200  8 ByteRun1     256    30085  $00011000 plain
MENU3037.PIX      19566   320x200  8 ByteRun1     256    18484  $00011000 plain
MENU5057.PIX      15746   320x200  8 ByteRun1     256    14663  $00011000 plain
MENU8085.PIX       9118   320x200  8 ByteRun1     256     8035  $00011000 plain
PAGE.PIX          20798   320x200  8 ByteRun1     256    19715  $00011000 plain
PAGE2.PIX         19910   320x200  8 ByteRun1     256    18827  $00011000 plain
PATCHES.PIX       48946   320x200  8 ByteRun1     256    47863  $00011000 plain
PILOT.PIX         52320   320x200  8 ByteRun1     256    51237  $00011000 plain
POINTER.PIX        5914   320x200  8 ByteRun1     256     4831  $00011000 plain
RANKS.PIX         41190   320x200  8 ByteRun1     256    40108  $00011000 plain
REALITY.PIX       38896   320x200  8 ByteRun1     256    37813  $00011000 plain
REALI_AN.PIX      24004   320x200  8 ByteRun1     256    22922  $00011000 plain
REAL_PCH.PIX      21340   320x200  8 ByteRun1     256    20257  $00011000 plain
RESCUE.PIX        28288   320x200  8 ByteRun1     256    27205  $00011000 plain
RESC_AN.PIX       28514   320x200  8 ByteRun1     256    27432  $00011000 plain
RESC_AN1.PIX      13862   320x200  8 ByteRun1     256    12907  $00011000 plain
ROSTER.PIX        25206   320x200  8 ByteRun1     256    24124  $00011000 plain
SAD.PIX           39396   320x200  8 ByteRun1     256    38314  $00011000 plain
SAD_2.PIX         40938   320x200  8 ByteRun1     256    39855  $00011000 plain
SAD_AN.PIX         8032   320x200  8 ByteRun1     256     6950  $00011000 plain
SHIP.PIX          31594   320x200  8 ByteRun1     256    30511  $00011000 plain
SHIP_00.PIX       38264   320x200  8 ByteRun1     256    37309  $00011000 plain
SHIP_01.PIX       38222   320x200  8 ByteRun1     256    37268  $00011000 plain
SHIP_02.PIX       23582   320x200  8 ByteRun1     256    22500  $00011000 plain
SHIP_03.PIX       25662   320x200  8 ByteRun1     256    24580  $00011000 plain
SHIP_04.PIX       25108   320x200  8 ByteRun1     256    24026  $00011000 plain
SHIP_05.PIX       30176   320x200  8 ByteRun1     256    29093  $00011000 plain
SHIP_06.PIX       24266   320x200  8 ByteRun1     256    23183  $00011000 plain
SHIP_07.PIX       17390   320x200  8 ByteRun1     256    16307  $00011000 plain
TARMC_00.PIX      19172   320x200  8 ByteRun1     256    18089  $00011000 plain
TARMC_01.PIX      16812   320x200  8 ByteRun1     256    15730  $00011000 plain
TARMC_02.PIX      17004   320x200  8 ByteRun1     256    15921  $00011000 plain
