file               offset kind         packed   unpacked depth  sha1
cd32rez                96 RNC2          29717      86016     0  ab86f78f1192
cd32rez             29814 RNC2          11962      48000     0  3084846fdc21
cd32rez             57776 RNC2          23950      35200     0  d114bff46562
cd32rez             81726 RNC2          19032      67584     0  2a7369e29d78
cd32rez            100758 RNC2          17908      67584     0  ecdde5334f5f
cd32rez            118666 RNC2          14363      67584     0  ca7efc016b76
cd32rez            133030 RNC2          14894      48000     0  bf8a9cc4a537
cd32rez            147924 RNC2           2586       8640     0  02127a2d745a
cd32rez            150510 RNC2           1508       3840     0  85d808deea14
cd32rez            152018 RNC2          16081      48000     0  dae8adfadf9f
cd32rez            168100 RNC2           3890      13400     0  549189fb0bee
cd32rez            171990 RNC2          22577      48000     0  4158b7493522
cd32rez            194568 RNC2           3219      48000     0  43b433313729
cd32rez            198256 RNC2           7629      15336     0  0ecc51c36ad6
cd32rez            205886 RNC2           7710      15624     0  1f232415c83b
cd32rez            213596 RNC2             42        788     0  869fa68dcd1d
cd32rez            213638 RNC2           4072       6792     0  f491be7b6808
cd32rez            217710 RNC2           3186       5800     0  0372090bdc26
cd32rez            220896 RNC2           4265       7274     0  50c6e357de10
cd32rez            225162 RNC2            717       1480     0  a8e70302f2fe
cd32rez            225880 RNC2          13916      29176     0  562b159263cf
cd32rez            239796 RNC2           1333       4856     0  b338d068a5fb
cd32rez            241130 RNC2           1276       4248     0  986c5a788398
cd32rez            242406 RNC2            135        224     0  4993b25f88b1
cd32rez            242542 RNC2            117        166     0  ea08b80c2212
cd32rez            242660 RNC2            175        240     0  11db5418189b
cd32rez            242836 RNC2            161        208     0  c7129f8e2441
cd32rez            242998 RNC2           4394       9128     0  7d114f9ab05f
cd32rez            247392 RNC2            934       3048     0  08457042d6be
cd32rez            248326 RNC2          25271      36104     0  f9d3cb11f44c
cd32rez            273598 RNC2            537       1736     0  0407843bade5
cd32rez            274136 RNC2           9342      13916     0  964ee527218b
cd32rez            283478 RNC2           5515       9196     0  43a9a4591ffc
cd32rez            288994 RNC2            953       2734     0  5baf7a5e31d0
cd32rez            289948 RNC2           4819       9518     0  3fc1a94cfc49
cd32rez            294768 RNC2           1553       3374     0  873bb32289cf
cd32rez            296322 RNC2            283       1102     0  20ba7acb43db
cd32rez            296606 RNC2            287       1102     0  b87752b68f32
cd32rez            296894 RNC2           6468       9390     0  da2e64584fdf
cd32rez            303362 RNC2           4777       9070     0  643e9f8b8e07
cd32rez            308140 RNC2           4396       8526     0  86be16d623f3
cd32rez            312536 RNC2            462       1016     0  a599a946adca
cd32rez            312998 RNC2            495       1080     0  4af130912bd8
cd32rez            313494 RNC2           1188       3496     0  45702e8eb5bb
cd32rez            314682 RNC2           5138       8200     0  20449737493d
cd32rez            319820 RNC2           5218      10840     0  5b579e449b5e
cd32rez            325038 RNC2           2821       6232     0  ba81e218f405
cd32rez            327860 RNC2           4683       8078     0  9aa2dfe7e79b
cd32rez            332544 RNC2           2361       4718     0  77f11d9ffd13
cd32rez            334906 RNC2           6070       9896     0  a8584bfbdb4e
cd32rez            340976 RNC2            502       3400     0  dd2039840ac8
cd32rez            341478 RNC2            561       3400     0  c52436e33683
cd32rez            342040 RNC2            610       3464     0  def4c2e3dd91
cd32rez            342650 RNC2            574       3432     0  c76c0d60e6ce
cd32rez            343224 RNC2            622       3496     0  c6cdc6c1cbbb
cd32rez            343846 RNC2            556       3400     0  aadb7269e107
cd32rez            344402 RNC2            584       3432     0  a42837e230a0
cd32rez            344986 RNC2            593       1584     0  3441f9c2a8c1
cd32rez            345580 RNC2            283       1032     0  1495a9881ffc
cd32rez            345864 RNC2           1019       1776     0  df852dc7969e
cd32rez            346884 RNC2            976       1584     0  d4ca1302650f
cd32rez            347860 RNC2            908       1552     0  72cc73c50a4e
cd32rez            348768 RNC2            989       1552     0  1daf412c8e9f
cd32rez            349758 RNC2           1059       1840     0  cfbe3bb3e97c
cd32rez            350818 RNC2           1035       1776     0  0cafd26c3520
cd32rez            351854 RNC2            945       1648     0  a8dcc4622710
cd32rez            352800 RNC2           1000       1520     0  9f0eeb216021
cd32rez            353800 RNC2           5678      11528     0  c53c6ff92eab
cd32rez            359478 RNC2           1540       3068     0  73dd1cf8b44c
cd32rez            361018 RNC2           1559       3068     0  f6b6d4c8ad97
cd32rez            362578 RNC2           1535       3068     0  f027d734965b
cd32rez            364114 RNC2           5985      10606     0  3535e61b9d86
cd32rez            370100 RNC2           8067      16728     0  f9e2d16f2ee1
cd32rez            378168 RNC2           3600       7568     0  b378f7960650
cd32rez            381768 RNC2           2874       5264     0  4177c432fb03
cd32rez            384642 RNC2           6830      12180     0  8e8b9952b45f
cd32rez            391472 RNC2           2077       4320     0  3abd169b2f2a
cd32rez            393550 RNC2           3797       5600     0  0b0c5d1169b7
cd32rez            397348 RNC2           1456       3360     0  288261fc6709
cd32rez            398804 RNC2           4144       6592     0  10884a7578d4
cd32rez            402948 RNC2           2073       3044     0  c074750db37a
cd32rez            405022 RNC2           1241       2628     0  4af32c520a63
cd32rez            406264 RNC2          10512      16424     0  32380e59c128
cd32rez            416776 RNC2           4859       8752     0  9ec3e3577fbf
cd32rez            421636 RNC2           2261       4608     0  c0c43d42593e
cd32rez            423898 RNC2             55        832     0  e512d9dc1812
cd32rez            423954 RNC2           4999       8040     0  f488483691c9
cd32rez            428954 RNC2           1401       2632     0  b51096cc8a06
cd32rez            430356 RNC2            426        916     0  0c4ccb007547
cd32rez            430782 RNC2           1077       2156     0  bd7d349090c5
cd32rez            431860 RNC2             48        468     0  972c8cbd4df3
cd32rez            431908 RNC2            664       1512     0  50570f3df9a6
cd32rez            432572 RNC2          17132      26472     0  5002e1fbd455
cd32rez            449704 RNC2           2380       4648     0  2aa2936c91d0
cd32rez            452084 RNC2           1521       3068     0  6817bca333f6
