timestamp               gap       size  path
1993-12-20 11:46:08                264  /fonts/gsfnt1.font
1993-12-20 11:46:08   0:00:00        264  /fonts/gsfnt3.font
1993-12-20 11:46:08   0:00:00        264  /fonts/gsfnt4.font
1993-12-20 11:46:08   0:00:00        264  /fonts/gsfnt5.font
1993-12-20 11:46:08   0:00:00        264  /fonts/gsfnt6.font
1993-12-20 11:46:08   0:00:00        264  /fonts/gsfnt9.font
1993-12-20 11:46:09   0:00:01        264  /fonts/gsfnt2.font
1993-12-20 11:46:10   0:00:01       1628  /fonts/gs2000/1
1993-12-20 11:46:10   0:00:00       1628  /fonts/gs2000/3
1993-12-20 11:46:10   0:00:00       1724  /fonts/gs2000/2
1993-12-20 11:46:10   0:00:00       1724  /fonts/gs2000/4
1993-12-20 11:46:11   0:00:01       1820  /fonts/gs2000/6
1993-12-20 11:46:11   0:00:00       2684  /fonts/gs2000/5
1993-12-20 11:46:11   0:00:00       3192  /fonts/gs2000/11
1993-12-20 11:46:48   0:00:37         76  /.info
1993-12-20 11:46:50   0:00:02          1  /1
1993-12-20 11:47:16   0:00:26       2788  /colour.lbm
1993-12-20 11:49:35   0:02:19          1  /2
1993-12-20 11:50:50   0:01:15          1  /3
1993-12-20 11:51:26   0:00:36     585453  /flight.cat
1993-12-20 11:51:59   0:00:33          1  /4
1993-12-20 11:52:03   0:00:04      62836  /fe_snd.bin
1993-12-20 11:52:25   0:00:22     396511  /object.cat
1993-12-29 11:45:55   8 days, 23:53:30          0  /fonts/gs2000/
1994-01-04 13:22:14   6 days, 1:36:19          0  /fonts/
1994-01-12 17:16:53   8 days, 3:54:39      41206  /COMMISSN.PIX
1994-01-12 17:18:50   0:01:57      46804  /HAPPY.PIX
1994-01-12 17:19:18   0:00:28      46532  /HAPPY_2.PIX
1994-01-12 17:20:37   0:01:19      34220  /KIA.PIX
1994-01-12 17:21:09   0:00:32      46236  /LOSE.PIX
1994-01-12 17:25:04   0:03:55      39396  /SAD.PIX
1994-01-12 17:26:02   0:00:58      31594  /SHIP.PIX
1994-01-12 17:28:12   0:02:10      54750  /TENT.PIX
1994-01-12 17:29:43   0:01:31      55524  /WIN.PIX
1994-01-13 09:20:35   15:50:52      45810  /JUMPCMOH.PIX
1994-01-13 09:21:05   0:00:30      21650  /MEDAL.PIX
1994-01-13 09:22:11   0:01:06      33166  /MEMO_AN.PIX
1994-01-13 09:24:08   0:01:57      41190  /RANKS.PIX
1994-01-13 10:16:02   0:51:54       5914  /POINTER.PIX
1994-01-13 15:07:43   4:51:41      23084  /KIA_AN.PIX
1994-01-13 15:08:20   0:00:37      28514  /RESC_AN.PIX
1994-01-13 15:08:50   0:00:30      13862  /RESC_AN1.PIX
1994-01-13 15:09:17   0:00:27      40938  /SAD_2.PIX
1994-01-13 15:09:37   0:00:20       8032  /SAD_AN.PIX
1994-01-13 15:12:35   0:02:58      57608  /BPATCHES.PIX
1994-01-13 15:19:13   0:06:38      14226  /HAPPY_AN.PIX
1994-01-13 15:19:26   0:00:13      20880  /COMM_AN.PIX
1994-01-13 17:32:26   2:13:00      39488  /CDACCESS.PIX
1994-01-14 11:43:23   18:10:57       4442  /gunship 2000.info
1994-01-18 13:07:52   4 days, 1:24:29    3497550  /cdintro.xl
1994-02-03 10:01:14   15 days, 20:53:22      45136  /JUMP.PIX
1994-02-04 17:13:23   1 day, 7:12:09     704004  /gs2end.cat
1994-02-09 15:54:26   4 days, 22:41:03      28288  /RESCUE.PIX
1994-02-14 14:46:13   4 days, 22:51:47      34776  /c/cdgsxl
1994-02-14 14:46:16   0:00:03         48  /c/filteroff
1994-02-14 14:46:17   0:00:01         48  /c/filteron
1994-02-14 15:39:03   0:52:46        369  /disk.info
1994-02-18 12:04:18   3 days, 20:25:15        402  /CAMPGN51.DAT
1994-02-21 10:32:25   2 days, 22:28:07      50988  /BASE.PIX
1994-02-21 10:32:43   0:00:18      45314  /BASE_AN.PIX
1994-02-21 10:36:28   0:03:45      36826  /BASE_AN1.PIX
1994-02-21 10:37:02   0:00:34      37544  /BASE_AN2.PIX
1994-02-21 10:51:45   0:14:43      18986  /MEMO.PIX
1994-02-21 11:03:29   0:11:44      50006  /THEATER.PIX
1994-02-21 11:47:25   0:43:56      32274  /COMMAND2.PIX
1994-02-21 11:48:30   0:01:05      35716  /COMMANDR.PIX
1994-02-21 11:50:34   0:02:04      46176  /FIELD.PIX
1994-02-21 11:52:03   0:01:29      44108  /FIELD2.PIX
1994-02-21 11:53:04   0:01:01      18818  /FIELD_A2.PIX
1994-02-21 11:54:01   0:00:57      29872  /FIELD_AN.PIX
1994-02-21 12:00:20   0:06:19      23280  /EURO6MAP.PIX
1994-02-21 12:01:10   0:00:50      22756  /EURO7MAP.PIX
1994-02-21 12:01:53   0:00:43      23240  /EURO8MAP.PIX
1994-02-21 12:02:42   0:00:49      21204  /GULF3MAP.PIX
1994-02-21 12:03:27   0:00:45      20728  /GULF4MAP.PIX
1994-02-21 12:04:11   0:00:44      21936  /GULF5MAP.PIX
1994-02-21 12:05:37   0:01:26      20798  /PAGE.PIX
1994-02-21 12:06:21   0:00:44      19910  /PAGE2.PIX
1994-02-21 12:07:28   0:01:07      17288  /HANDS.PIX
1994-02-21 12:09:53   0:02:25      38896  /REALITY.PIX
1994-02-21 12:10:38   0:00:45      24004  /REALI_AN.PIX
1994-02-21 12:11:33   0:00:55      21340  /REAL_PCH.PIX
1994-02-21 12:21:47   0:10:14      31168  /MENU0021.PIX
1994-02-21 12:22:33   0:00:46      19566  /MENU3037.PIX
1994-02-21 12:23:16   0:00:43      15746  /MENU5057.PIX
1994-02-21 12:24:02   0:00:46       9118  /MENU8085.PIX
1994-02-21 12:24:59   0:00:57      52320  /PILOT.PIX
1994-02-21 12:25:50   0:00:51      19172  /TARMC_00.PIX
1994-02-21 12:26:34   0:00:44      16812  /TARMC_01.PIX
1994-02-21 12:27:23   0:00:49      17004  /TARMC_02.PIX
1994-02-21 12:28:50   0:01:27      38264  /SHIP_00.PIX
1994-02-21 12:29:35   0:00:45      38222  /SHIP_01.PIX
1994-02-21 12:30:14   0:00:39      23582  /SHIP_02.PIX
1994-02-21 12:30:57   0:00:43      25662  /SHIP_03.PIX
1994-02-21 12:31:46   0:00:49      25108  /SHIP_04.PIX
1994-02-21 12:32:33   0:00:47      30176  /SHIP_05.PIX
1994-02-21 12:33:15   0:00:42      24266  /SHIP_06.PIX
1994-02-21 12:33:56   0:00:41      17390  /SHIP_07.PIX
1994-02-21 17:33:26   4:59:30      25206  /ROSTER.PIX
1994-02-21 17:35:21   0:01:55      48946  /PATCHES.PIX
1994-03-18 14:30:50   24 days, 20:55:29   21618080  /piratesgold.intro.xl
1994-03-18 14:45:07   0:14:17       4432  /c/execute
1994-03-18 14:45:23   0:00:16        104  /c/getlang
1994-03-18 14:56:15   0:10:52       2464  /Pirates.font
1994-03-18 14:56:15   0:00:00     383568  /pirates
1994-03-18 14:56:16   0:00:01     383724  /pirates_german
1994-03-18 14:56:27   0:00:11     641768  /cd32rez
1994-03-18 14:56:35   0:00:08      22422  /frame.lbm
1994-03-19 11:23:24   20:26:49      30406  /logo.pix
1994-03-21 09:23:12   1 day, 21:59:48      34776  /CDGSXL
1994-03-21 09:23:12   0:00:00   26830284  /INTRO.XL
1994-03-21 09:54:16   0:31:04        386  /pirates.demo
1994-03-22 17:23:46   1 day, 7:29:30          0  /Catalogs/
1994-03-22 17:23:47   0:00:01          0  /Catalogs/English/
1994-03-22 17:23:47   0:00:00        166  /Catalogs/English/User.catalog
1994-03-22 17:23:47   0:00:00       5046  /Catalogs/English/Ami.catalog
1994-03-22 17:23:50   0:00:03       3220  /c/Assign
1994-03-22 17:23:54   0:00:04        835  /Backdrop.info
1994-03-22 17:23:54   0:00:00      52588  /GS2LOGO.LBM
1994-03-22 17:23:55   0:00:01      17548  /libs/locale.library
1994-03-22 17:23:56   0:00:01          0  /libs/
1994-03-22 17:23:56   0:00:00      15340  /libs/diskfont.library
1994-03-22 17:23:57   0:00:01       6824  /libs/iffparse.library
1994-03-22 17:36:42   0:12:45        852  /c/wait
1994-03-24 13:43:32   1 day, 20:06:50      43444  /Backdrop
1994-03-24 15:43:19   1:59:47        432  /c/Break
1994-03-24 15:43:25   0:00:06        828  /c/Status
1994-03-25 12:08:51   20:25:26     177423  /gs2frt.dat
1994-03-25 12:08:52   0:00:01       6268  /gs2end.dat
1994-03-25 14:46:45   2:37:53    1407941  /gs2frt.cat
1994-03-25 14:50:02   0:03:17      34840  /cd1.pix
1994-03-25 14:50:06   0:00:04      35526  /cd2.pix
1994-03-25 14:50:09   0:00:03      34496  /cd3.pix
1994-03-26 14:06:11   23:16:02     183528  /flt_snd.bin
1994-03-27 11:32:00   21:25:49        302  /CAMPGN00.DAT
1994-03-27 11:33:35   0:01:35        277  /CAMPGN02.DAT
1994-03-27 11:41:36   0:08:01        202  /CAMPGN01.DAT
1994-04-13 11:15:36   16 days, 23:34:00      13200  /c/setpatch
1994-04-14 11:12:17   23:56:41          0  /c/
1994-04-14 11:12:17   0:00:00        728  /c/avail
1994-04-14 11:13:47   0:01:30       3606  /Flight.dat
1994-04-14 13:25:48   2:12:01          0  /s/
1994-04-14 13:25:48   0:00:00        613  /s/startup-sequence
1994-04-19 13:38:54   5 days, 0:13:06          0  /GS2000/
1994-04-19 14:06:08   0:27:14       3532  /gunship 2000
1994-04-19 14:06:30   0:00:22     218636  /gs
1994-04-19 14:06:48   0:00:18     197532  /gs2.run
1994-04-19 14:06:50   0:00:02       1680  /roster.dat

by year: 1993 x24, 1994 x124
epoch 1978: none
epoch 1980: none

distinct calendar days: 24
   1993-12-20  x23
   1993-12-29  x1
   1994-01-04  x1
   1994-01-12  x9
   1994-01-13  x14
   1994-01-14  x1
   1994-01-18  x1
   1994-02-03  x1
   1994-02-04  x1
   1994-02-09  x1
   1994-02-14  x4
   1994-02-18  x1
   1994-02-21  x42
   1994-03-18  x8
   1994-03-19  x1
   1994-03-21  x3
   1994-03-22  x12
   1994-03-24  x3
   1994-03-25  x6
   1994-03-26  x1
   1994-03-27  x3
   1994-04-13  x1
   1994-04-14  x5
   1994-04-19  x5
